"album_uri","album_name","album_img","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","artist"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Daydreamer","1wV3ZgBuui1rhpKVPVnplu",0.805,0.104,"A",-13.237,"major",0.0404,0.963,0,0.107,0.335,108.959,220507,4,"A major",60,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Best For Last","2ZzL9ajouuH7GoJBs6ZkNM",0.621,0.312,"E",-10.93,"minor",0.258,0.665,0,0.105,0.597,105.181,258507,4,"E minor",51,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Chasing Pavements","4ZBqVsaZnlRqfqwaXRFu5T",0.615,0.472,"F",-6.073,"minor",0.0267,0.325,0,0.115,0.327,80.072,210507,4,"F minor",60,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Cold Shoulder","34kohJpbYshSo3QMpq7wN8",0.651,0.829,"B",-5.355,"minor",0.049,0.00248,0,0.109,0.363,109.959,191867,4,"B minor",51,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Crazy For You","142vj1HAI7VBAsn7OPmSHc",0.705,0.144,"G",-12.234,"major",0.0504,0.926,1.14e-06,0.102,0.349,85.892,208040,3,"G major",58,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Melt My Heart To Stone","6OqHsUrVmquDBqTPgYLNqm",0.409,0.389,"B",-7.049,"minor",0.0316,0.323,0,0.241,0.219,80.758,203907,4,"B minor",58,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"First Love","7alr0hh8yLWEIY8Tow9UJ6",0.687,0.106,"C",-13.474,"major",0.0333,0.985,0.00438,0.0911,0.346,81.405,190280,4,"C major",53,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Right As Rain","2Q2SougPFYpLWVZVx1dRNK",0.844,0.678,"C#",-5.853,"major",0.1,0.736,0,0.0866,0.895,137.202,197347,4,"C# major",53,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Make You Feel My Love","4T8bIyWapBftpSuQDp6vuz",0.325,0.18,"A#",-10.647,"major",0.0311,0.91,0.000633,0.113,0.0997,72.416,212040,1,"A# major",67,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"My Same","3xMYr8Hg5jgy8QQIojeVbu",0.802,0.603,"E",-7.453,"minor",0.134,0.471,0,0.14,0.722,126.381,195653,4,"E minor",51,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Tired","09fgZxShFPEdl0xBMmV3sv",0.803,0.673,"B",-6.338,"major",0.047,0.191,0.000646,0.0953,0.552,96.997,258853,4,"B major",50,"Adele"
"5VN0zLpsF5QD62XYuvXOio","19","https://i.scdn.co/image/0c748d2ea3099ad49c2b76291c5796dd370ee314","2008-01-28",2008-01-28,62,"Hometown Glory","0iQRBodhuHy1n3b3wDtYh9",0.444,0.336,"A#",-8.493,"minor",0.0369,0.963,4.31e-05,0.103,0.211,122.574,271227,4,"A# minor",56,"Adele"
"1azUkThwd2HfUDdeNeT147","21","https://i.scdn.co/image/4dd5a511e378838ef564cc343304019b8f430bcd","2011-01-19",2011-01-19,72,"Rolling in the Deep","1CkvWZme3pRgbzaxZnTl5X",0.729,0.756,"G#",-5.119,"major",0.0294,0.131,0,0.0527,0.522,104.945,228293,4,"G# major",74,"Adele"
"1azUkThwd2HfUDdeNeT147","21","https://i.scdn.co/image/4dd5a511e378838ef564cc343304019b8f430bcd","2011-01-19",2011-01-19,72,"Rumour Has It","76N7FdzCI9OsiUnzJVLY2m",0.618,0.753,"G",-5.05,"minor",0.0451,0.637,0,0.0905,0.557,120.041,221427,4,"G minor",64,"Adele"
"1azUkThwd2HfUDdeNeT147","21","https://i.scdn.co/image/4dd5a511e378838ef564cc343304019b8f430bcd","2011-01-19",2011-01-19,72,"Turning Tables","5O6yk6U8L3rTbFsIwuqe8H",0.305,0.452,"C",-6.077,"minor",0.0293,0.952,1.68e-05,0.129,0.21,79.83,250133,4,"C minor",66,"Adele"
"1azUkThwd2HfUDdeNeT147","21","https://i.scdn.co/image/4dd5a511e378838ef564cc343304019b8f430bcd","2011-01-19",2011-01-19,72,"Don't You Remember","24cKN8P2uGWypxTw5WaNlq",0.64,0.395,"D#",-5.689,"major",0.0307,0.206,0,0.0935,0.235,115.082,243200,4,"D# major",64,"Adele"
"1azUkThwd2HfUDdeNeT147","21","https://i.scdn.co/image/4dd5a511e378838ef564cc343304019b8f430bcd","2011-01-19",2011-01-19,72,"Set Fire to the Rain","3CKCZ9pfwAfoMZlMncA1Nc",0.61,0.683,"D",-3.879,"minor",0.0253,0.00382,1.79e-06,0.125,0.466,108.003,241693,4,"D minor",73,"Adele"
"1azUkThwd2HfUDdeNeT147","21","https://i.scdn.co/image/4dd5a511e378838ef564cc343304019b8f430bcd","2011-01-19",2011-01-19,72,"He Won't Go","4ThTvhGNae80mrLsMzs4Hb",0.706,0.569,"C",-7.044,"minor",0.0861,0.023,0,0.0731,0.71,159.824,277947,4,"C minor",57,"Adele"
